neighborhood_municipality,total_partially_vaccinated,total_fully_vaccinated,total_fully_vaccinated_w_booster
Squirrel Hill North (Pittsburgh),1723,3431,3922
Swisshelm Park (Pittsburgh),97,398,625
Churchill,266,1028,1526
Dormont,595,2870,3042
Rosslyn Farms,28,137,193
California-Kirkbride (Pittsburgh),64,233,131
Glen Hazel (Pittsburgh),54,195,253
Friendship (Pittsburgh),332,776,678
Arlington (Pittsburgh),135,577,370
Frazer,55,319,363
Marshall-Shadeland (Pittsburgh),272,1166,909
North Oakland (Pittsburgh),1228,2738,1869
Wilmerding,121,494,309
Larimer (Pittsburgh),144,597,310
Leetsdale,74,328,367
Versailles,77,420,369
Franklin Park,1363,5262,6853
Springdale Borough,186,1064,1025
Ben Avon,146,657,731
Bloomfield (Pittsburgh),1061,3139,3316
Perry North (Pittsburgh),271,1204,1195
Richland,868,4007,4526
Sewickley Hills,53,184,300
Crawford-Roberts (Pittsburgh),246,925,731
Chalfant,46,245,229
Homewood South (Pittsburgh),185,642,485
Banksville (Pittsburgh),355,1547,1476
Baldwin Township,109,664,798
Homewood North (Pittsburgh),203,749,454
Neville,73,353,329
Manchester (Pittsburgh),152,674,666
Oakwood (Pittsburgh),76,344,316
Central Lawrenceville (Pittsburgh),559,1502,2023
North Versailles,575,3044,2834
Clairton,302,1629,1439
Springdale Township,86,438,599
O'Hara,870,2842,4545
West Elizabeth,22,143,84
West Homestead,113,571,638
Penn Hills,2766,12880,12758
Harmar,212,909,1214
Whitaker,73,392,288
South Shore (Pittsburgh),66,109,63
Bellevue,633,2960,2349
South Fayette,1001,4309,4537
Northview Heights (Pittsburgh),146,373,121
Middle Hill (Pittsburgh),178,553,424
Pitcairn,174,844,646
Pleasant Hills,557,2870,3537
McCandless,2282,9688,12510
East Allegheny (Pittsburgh),149,617,648
Moon,2205,8967,8825
South Oakland (Pittsburgh),446,1316,745
Lincoln-Lemington-Belmar (Pittsburgh),248,1226,903
West Deer,751,3613,4437
Ohio,562,2509,2961
Regent Square (Pittsburgh),93,262,551
Homewood West (Pittsburgh),38,171,155
Beechview (Pittsburgh),656,2582,2345
Ross,2302,11155,13584
Crescent,135,739,783
Morningside (Pittsburgh),236,1044,1417
East Pittsburgh,123,490,304
Brackenridge,195,1008,767
Summer Hill (Pittsburgh),53,303,374
Ridgemont (Pittsburgh),30,155,171
Upper Saint Clair,1842,7253,9477
Ben Avon Heights,32,129,193
Crafton Heights (Pittsburgh),285,1279,1091
Glenfield,22,64,64
Plum,1689,8888,9437
Shadyside (Pittsburgh),3077,6038,5148
Lower Lawrenceville (Pittsburgh),304,931,1060
Brentwood,621,3296,3143
Stowe,346,1839,1414
Brookline (Pittsburgh),860,4472,4467
Highland Park (Pittsburgh),805,2043,3040
Homestead,270,917,666
Wilkinsburg,1349,4535,4340
Sewickley,414,1242,1614
Sheraden (Pittsburgh),342,1613,1170
East Carnegie (Pittsburgh),31,168,136
Lincoln,53,266,285
Emsworth,442,1065,769
Allegheny West (Pittsburgh),51,179,206
Upper Hill (Pittsburgh),168,621,553
Millvale,241,1095,907
Mount Washington (Pittsburgh),739,3008,2514
Upper Lawrenceville (Pittsburgh),239,826,987
Haysville,3,22,21
Glassport,243,1257,1058
Carnegie,681,2900,2531
Bethel Park,2197,10691,14191
Southside Flats (Pittsburgh),1073,2976,2181
Undefined,165,649,630
Ingram,188,1089,1125
Braddock,130,589,376
Hazelwood (Pittsburgh),315,1220,992
Knoxville (Pittsburgh),270,1070,637
Bell Acres,114,461,540
Elliott (Pittsburgh),152,756,558
Pennsbury Village,62,214,246
Shaler,1727,8884,11623
Overbrook (Pittsburgh),213,1075,1108
Edgeworth,215,483,748
Bon Air (Pittsburgh),38,249,258
Bluff (Pittsburgh),230,670,268
Collier,812,2920,3388
Wall,26,143,115
Crafton,378,2117,1983
Leet,54,331,441
South Park,818,4428,5111
Monroeville,2400,9834,10174
Turtle Creek,325,1571,1146
Indiana,599,2393,2847
Central Northside (Pittsburgh),311,998,1107
Central Oakland (Pittsburgh),651,1875,695
Hays (Pittsburgh),26,120,88
Tarentum,225,1303,987
